,mean,std,min,25%,50%,75%,max
"Probability of dying among adolescents ages 10-14 years (per 1,000)",3.5547752808988764,4.109189338100439,0.2,1.2,2.1,4.525,89.9
"Probability of dying among adolescents ages 15-19 years (per 1,000)",6.690000000000001,7.246898646232189,0.8,2.7,4.6,8.6,297.4
"Probability of dying among children ages 5-9 years (per 1,000)",5.6804119850187265,7.894100436844751,0.2,1.1,2.2,7.0,98.7
"Probability of dying among youth ages 20-24 years (per 1,000)",9.298314606741574,10.180844118723336,0.8,3.7,6.5,11.8,435.9
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),68.33500233868294,19.88393776447844,8.09641094980703,57.16947717984717,72.94032879766985,82.65691150774771,108.000155934222
Renewable electricity output (% of total electricity output),28.959634830268605,33.75199072644506,0.0,0.0,13.2136206994125,54.29718314964502,100.0
Rural population,15448994.380123477,78762462.80060217,0.0,199047.5,1819891.0,7915464.0,895386226.0
Rural population (% of total population),43.312652858610065,24.387356994029794,0.0,23.80225,43.833,63.97775,94.584
Rural population growth (annual %),0.46908107925968234,3.645615215258351,-235.79244545670105,-0.5150898122069377,0.542763894271596,1.69938419274667,12.9923117844795
"Secondary education, duration (years)",6.3578782062467285,0.9248358940309093,4.0,6.0,6.0,7.0,9.0
"Self-employed, female (% of female employment) (modeled ILO estimate)",43.808311373348914,32.162901582148365,0.0270000007003546,12.952250003814726,36.494001388549805,75.07950019836426,99.2300033569336
"Self-employed, male (% of male employment) (modeled ILO estimate)",41.62704138841699,24.924781154918424,0.412000000476837,19.677500247955322,36.9469985961914,60.79774951934812,92.51300048828128
"Self-employed, total (% of total employment) (modeled ILO estimate)",42.60332744700067,27.744914129149503,0.4079999923706049,16.910749435424798,36.9045009613037,66.2939987182617,94.9509963989258
Surface area (sq. km),590792.4360009142,1804156.637960472,2.0,11610.0,89320.0,447400.0,17098250.0
"Survival to age 65, female (% of cohort)",74.55961098959605,15.711667797244665,13.470717,64.19022609999999,79.9260174,86.4259386,94.5306804
"Survival to age 65, male (% of cohort)",64.94231152914286,15.702566563216884,9.841479,54.727530200000004,67.6089772,77.03341359999999,92.8572002
Total fisheries production (metric tons),681119.1876729279,3974070.433003209,0.0,4514.85,31553.5,206286.325,81500000.0
"Unemployment, female (% of female labor force) (modeled ILO estimate)",9.569268822903727,7.562365562786866,0.118000000715256,4.026499986648563,7.305999994277955,12.887249708175624,47.648998260498
"Unemployment, male (% of male labor force) (modeled ILO estimate)",7.637191764196636,5.749194411400062,0.0329999998211861,3.5322499871253994,6.0605001449585,10.39300012588505,36.95999908447271
"Unemployment, total (% of total labor force) (modeled ILO estimate)",8.277887646215511,6.254927958269996,0.0820000022649765,3.7987499833106977,6.643500089645384,11.210250139236475,37.976001739502
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",19.34099215288957,14.666408106561443,0.158999994397163,8.393749952316282,15.71950006484985,26.802000522613547,70.6070022583008
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",16.117233528158827,11.562625186538021,0.138999998569489,7.193750023841858,13.415499687194849,21.68125009536745,64.822998046875
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",17.18583764783892,12.394405131954532,0.3449999988079069,7.975749850273133,14.16350030899045,23.420750141143778,65.4410018920898
Urban population,13906256.311953353,51460226.26965582,3624.0,323903.5,2434572.0,7714778.0,842933962.0
Urban population (% of total population),56.68734714138993,24.387356994029794,5.416,36.02225,56.167,76.19775,100.0
Urban population growth (annual %),2.1403263520121394,2.0411860567099502,-7.18233970417811,0.6786817195128361,1.8623016108432904,3.4136871182461803,17.7625020417422
"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",42.07930335206637,32.519508986096426,0.0079999999143183,10.334749743342375,34.4514999389648,74.3017501831054,99.132999420166
"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",37.35449627017999,25.854723449904554,0.152000006055459,14.773749858140924,31.096999406814547,57.311499595642104,92.3390007019043
"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",39.30674175958526,28.486551810537676,0.138999994611368,12.5712499320507,32.13699936866755,63.67249941825865,94.7590007781983
"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",56.191689623804656,32.16290073896202,0.769999980926514,24.920500278472925,63.505998611450195,87.04774856567383,99.9729995727539
"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",58.372957623238655,24.924780805237397,7.486999988555911,39.20225048065187,63.0530014038086,80.32250022888184,99.5879974365234
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",57.396671940766126,27.74491390292298,5.048999786376951,33.70600032806397,63.0954990386963,83.0892467498779,99.5920028686523
